nohup: ignoring input
Namespace(dataset='busi', dataroot=None, workers=1, batchSize=16, imageSize=64, nc=1, nz=100, ngf=64, ndf=64, niter=10001, lrD=5e-05, lrG=5e-05, beta1=0.5, cuda=True, ngpu=1, netG='', netD='', clamp_lower=-0.01, clamp_upper=0.01, Diters=5, noBN=False, mlp_G=False, mlp_D=False, n_extra_layers=0, experiment='/root/example/airs1/semi/code/pretrain/GAN', adam=True, root='/root/example/airs1', expID=3)
mkdir: cannot create directory ‘/root/example/airs1/semi/code/pretrain/GAN’: File exists
Random Seed:  4014
正在预加载 train-label 数据 (共 288 张)...
✅ 数据已锁入内存！
using cuda ===================================== 
[0/10001] End of Epoch | Avg_Loss_D: -1.5816 | Avg_Loss_G: 1.6945 | Total_Iter: 3
[1/10001] End of Epoch | Avg_Loss_D: -4.5230 | Avg_Loss_G: 3.3075 | Total_Iter: 6
[2/10001] End of Epoch | Avg_Loss_D: -6.2526 | Avg_Loss_G: 4.1328 | Total_Iter: 9
[3/10001] End of Epoch | Avg_Loss_D: -7.5277 | Avg_Loss_G: 5.1378 | Total_Iter: 12
[4/10001] End of Epoch | Avg_Loss_D: -10.9378 | Avg_Loss_G: 7.3955 | Total_Iter: 15
[5/10001] End of Epoch | Avg_Loss_D: -14.0269 | Avg_Loss_G: 9.4137 | Total_Iter: 18
[6/10001] End of Epoch | Avg_Loss_D: -16.7602 | Avg_Loss_G: 10.7718 | Total_Iter: 21
[7/10001] End of Epoch | Avg_Loss_D: -20.0951 | Avg_Loss_G: 11.9842 | Total_Iter: 24
[8/10001] End of Epoch | Avg_Loss_D: -22.1627 | Avg_Loss_G: 13.2694 | Total_Iter: 27
[9/10001] End of Epoch | Avg_Loss_D: -25.4657 | Avg_Loss_G: 14.3795 | Total_Iter: 30
[10/10001] End of Epoch | Avg_Loss_D: -28.2286 | Avg_Loss_G: 15.1215 | Total_Iter: 33
[11/10001] End of Epoch | Avg_Loss_D: -30.5438 | Avg_Loss_G: 16.2849 | Total_Iter: 36
[12/10001] End of Epoch | Avg_Loss_D: -31.5959 | Avg_Loss_G: 17.0212 | Total_Iter: 39
[13/10001] End of Epoch | Avg_Loss_D: -34.4160 | Avg_Loss_G: 17.9058 | Total_Iter: 42
[14/10001] End of Epoch | Avg_Loss_D: -36.3279 | Avg_Loss_G: 18.9792 | Total_Iter: 45
[15/10001] End of Epoch | Avg_Loss_D: -38.2872 | Avg_Loss_G: 19.9589 | Total_Iter: 48
[16/10001] End of Epoch | Avg_Loss_D: -39.8547 | Avg_Loss_G: 20.7378 | Total_Iter: 51
[17/10001] End of Epoch | Avg_Loss_D: -41.7001 | Avg_Loss_G: 21.5854 | Total_Iter: 54
[18/10001] End of Epoch | Avg_Loss_D: -43.6331 | Avg_Loss_G: 22.3108 | Total_Iter: 57
[19/10001] End of Epoch | Avg_Loss_D: -45.1843 | Avg_Loss_G: 23.0184 | Total_Iter: 60
[20/10001] End of Epoch | Avg_Loss_D: -46.6397 | Avg_Loss_G: 23.8787 | Total_Iter: 63
[21/10001] End of Epoch | Avg_Loss_D: -48.5099 | Avg_Loss_G: 24.7828 | Total_Iter: 66
[22/10001] End of Epoch | Avg_Loss_D: -49.9897 | Avg_Loss_G: 25.4960 | Total_Iter: 69
[23/10001] End of Epoch | Avg_Loss_D: -51.4826 | Avg_Loss_G: 26.3587 | Total_Iter: 72
[24/10001] End of Epoch | Avg_Loss_D: -53.2160 | Avg_Loss_G: 27.2324 | Total_Iter: 75
[25/10001] End of Epoch | Avg_Loss_D: -54.7257 | Avg_Loss_G: 27.8742 | Total_Iter: 78
[26/10001] End of Epoch | Avg_Loss_D: -55.3727 | Avg_Loss_G: 28.7982 | Total_Iter: 81
[27/10001] End of Epoch | Avg_Loss_D: -57.5307 | Avg_Loss_G: 29.3610 | Total_Iter: 84
[28/10001] End of Epoch | Avg_Loss_D: -59.2439 | Avg_Loss_G: 30.4448 | Total_Iter: 87
[29/10001] End of Epoch | Avg_Loss_D: -60.1433 | Avg_Loss_G: 31.1061 | Total_Iter: 90
[30/10001] End of Epoch | Avg_Loss_D: -59.5856 | Avg_Loss_G: 30.5338 | Total_Iter: 93
[31/10001] End of Epoch | Avg_Loss_D: -59.6181 | Avg_Loss_G: 32.0760 | Total_Iter: 96
[32/10001] End of Epoch | Avg_Loss_D: -62.9436 | Avg_Loss_G: 32.9659 | Total_Iter: 99
[33/10001] End of Epoch | Avg_Loss_D: -63.5054 | Avg_Loss_G: 32.1479 | Total_Iter: 102
[34/10001] End of Epoch | Avg_Loss_D: -65.3703 | Avg_Loss_G: 33.3831 | Total_Iter: 105
[35/10001] End of Epoch | Avg_Loss_D: -65.2373 | Avg_Loss_G: 34.9582 | Total_Iter: 108
[36/10001] End of Epoch | Avg_Loss_D: -65.8894 | Avg_Loss_G: 32.1654 | Total_Iter: 111
[37/10001] End of Epoch | Avg_Loss_D: -67.1937 | Avg_Loss_G: 34.8240 | Total_Iter: 114
[38/10001] End of Epoch | Avg_Loss_D: -66.4796 | Avg_Loss_G: 34.9222 | Total_Iter: 117
[39/10001] End of Epoch | Avg_Loss_D: -68.0528 | Avg_Loss_G: 36.0009 | Total_Iter: 120
[40/10001] End of Epoch | Avg_Loss_D: -68.0647 | Avg_Loss_G: 36.4441 | Total_Iter: 123
[41/10001] End of Epoch | Avg_Loss_D: -73.5245 | Avg_Loss_G: 38.4703 | Total_Iter: 126
[42/10001] End of Epoch | Avg_Loss_D: -74.2483 | Avg_Loss_G: 38.5535 | Total_Iter: 129
[43/10001] End of Epoch | Avg_Loss_D: -77.3129 | Avg_Loss_G: 38.9602 | Total_Iter: 132
[44/10001] End of Epoch | Avg_Loss_D: -74.5443 | Avg_Loss_G: 38.2216 | Total_Iter: 135
[45/10001] End of Epoch | Avg_Loss_D: -77.6295 | Avg_Loss_G: 40.4157 | Total_Iter: 138
[46/10001] End of Epoch | Avg_Loss_D: -81.0815 | Avg_Loss_G: 41.6717 | Total_Iter: 141
[47/10001] End of Epoch | Avg_Loss_D: -82.5718 | Avg_Loss_G: 42.4671 | Total_Iter: 144
[48/10001] End of Epoch | Avg_Loss_D: -80.8828 | Avg_Loss_G: 41.6830 | Total_Iter: 147
[49/10001] End of Epoch | Avg_Loss_D: -80.6662 | Avg_Loss_G: 43.2355 | Total_Iter: 150
[50/10001] End of Epoch | Avg_Loss_D: -88.6290 | Avg_Loss_G: 44.7664 | Total_Iter: 153
[51/10001] End of Epoch | Avg_Loss_D: -86.9221 | Avg_Loss_G: 44.0483 | Total_Iter: 156
[52/10001] End of Epoch | Avg_Loss_D: -89.4779 | Avg_Loss_G: 45.9485 | Total_Iter: 159
[53/10001] End of Epoch | Avg_Loss_D: -80.4428 | Avg_Loss_G: 45.0506 | Total_Iter: 162
[54/10001] End of Epoch | Avg_Loss_D: -92.7261 | Avg_Loss_G: 47.2214 | Total_Iter: 165
[55/10001] End of Epoch | Avg_Loss_D: -92.5234 | Avg_Loss_G: 47.3525 | Total_Iter: 168
[56/10001] End of Epoch | Avg_Loss_D: -96.1015 | Avg_Loss_G: 48.8567 | Total_Iter: 171
[57/10001] End of Epoch | Avg_Loss_D: -97.8696 | Avg_Loss_G: 49.4518 | Total_Iter: 174
[58/10001] End of Epoch | Avg_Loss_D: -100.6124 | Avg_Loss_G: 50.4901 | Total_Iter: 177
[59/10001] End of Epoch | Avg_Loss_D: -101.3980 | Avg_Loss_G: 51.0731 | Total_Iter: 180
[60/10001] End of Epoch | Avg_Loss_D: -103.1145 | Avg_Loss_G: 51.9539 | Total_Iter: 183
[61/10001] End of Epoch | Avg_Loss_D: -84.4659 | Avg_Loss_G: 51.7341 | Total_Iter: 186
[62/10001] End of Epoch | Avg_Loss_D: -106.1847 | Avg_Loss_G: 53.2541 | Total_Iter: 189
[63/10001] End of Epoch | Avg_Loss_D: -108.2102 | Avg_Loss_G: 54.5185 | Total_Iter: 192
[64/10001] End of Epoch | Avg_Loss_D: -109.9568 | Avg_Loss_G: 55.2793 | Total_Iter: 195
[65/10001] End of Epoch | Avg_Loss_D: -110.3678 | Avg_Loss_G: 56.0993 | Total_Iter: 198
[66/10001] End of Epoch | Avg_Loss_D: -114.0220 | Avg_Loss_G: 56.7889 | Total_Iter: 201
[67/10001] End of Epoch | Avg_Loss_D: -103.8532 | Avg_Loss_G: 57.7402 | Total_Iter: 204
[68/10001] End of Epoch | Avg_Loss_D: -111.1609 | Avg_Loss_G: 57.3627 | Total_Iter: 207
[69/10001] End of Epoch | Avg_Loss_D: -48.9019 | Avg_Loss_G: 54.7758 | Total_Iter: 210
[70/10001] End of Epoch | Avg_Loss_D: -92.3059 | Avg_Loss_G: 58.1729 | Total_Iter: 213
[71/10001] End of Epoch | Avg_Loss_D: -104.4095 | Avg_Loss_G: 58.4446 | Total_Iter: 216
[72/10001] End of Epoch | Avg_Loss_D: -119.5298 | Avg_Loss_G: 60.6562 | Total_Iter: 219
[73/10001] End of Epoch | Avg_Loss_D: -121.0675 | Avg_Loss_G: 61.4301 | Total_Iter: 222
[74/10001] End of Epoch | Avg_Loss_D: -123.8776 | Avg_Loss_G: 62.4727 | Total_Iter: 225
[75/10001] End of Epoch | Avg_Loss_D: -123.7441 | Avg_Loss_G: 63.0326 | Total_Iter: 228
[76/10001] End of Epoch | Avg_Loss_D: -103.8475 | Avg_Loss_G: 61.9702 | Total_Iter: 231
[77/10001] End of Epoch | Avg_Loss_D: -123.9203 | Avg_Loss_G: 64.3385 | Total_Iter: 234
[78/10001] End of Epoch | Avg_Loss_D: -127.3827 | Avg_Loss_G: 65.1051 | Total_Iter: 237
[79/10001] End of Epoch | Avg_Loss_D: -131.6943 | Avg_Loss_G: 66.8731 | Total_Iter: 240
[80/10001] End of Epoch | Avg_Loss_D: -134.2759 | Avg_Loss_G: 67.2110 | Total_Iter: 243
[81/10001] End of Epoch | Avg_Loss_D: -131.6244 | Avg_Loss_G: 68.3183 | Total_Iter: 246
[82/10001] End of Epoch | Avg_Loss_D: -136.7518 | Avg_Loss_G: 69.3882 | Total_Iter: 249
[83/10001] End of Epoch | Avg_Loss_D: -140.2241 | Avg_Loss_G: 70.3375 | Total_Iter: 252
[84/10001] End of Epoch | Avg_Loss_D: -141.7985 | Avg_Loss_G: 71.2393 | Total_Iter: 255
[85/10001] End of Epoch | Avg_Loss_D: -143.8126 | Avg_Loss_G: 72.0828 | Total_Iter: 258
[86/10001] End of Epoch | Avg_Loss_D: -129.1941 | Avg_Loss_G: 72.2943 | Total_Iter: 261
[87/10001] End of Epoch | Avg_Loss_D: -137.8200 | Avg_Loss_G: 72.8755 | Total_Iter: 264
[88/10001] End of Epoch | Avg_Loss_D: -147.5849 | Avg_Loss_G: 74.6045 | Total_Iter: 267
[89/10001] End of Epoch | Avg_Loss_D: -150.3367 | Avg_Loss_G: 75.4061 | Total_Iter: 270
[90/10001] End of Epoch | Avg_Loss_D: -150.3261 | Avg_Loss_G: 76.3615 | Total_Iter: 273
[91/10001] End of Epoch | Avg_Loss_D: -154.4257 | Avg_Loss_G: 77.2993 | Total_Iter: 276
[92/10001] End of Epoch | Avg_Loss_D: -156.0576 | Avg_Loss_G: 78.2866 | Total_Iter: 279
[93/10001] End of Epoch | Avg_Loss_D: -158.1230 | Avg_Loss_G: 79.3892 | Total_Iter: 282
[94/10001] End of Epoch | Avg_Loss_D: -148.9865 | Avg_Loss_G: 78.4104 | Total_Iter: 285
[95/10001] End of Epoch | Avg_Loss_D: -159.2463 | Avg_Loss_G: 80.7061 | Total_Iter: 288
[96/10001] End of Epoch | Avg_Loss_D: -158.2072 | Avg_Loss_G: 81.4802 | Total_Iter: 291
[97/10001] End of Epoch | Avg_Loss_D: -164.4931 | Avg_Loss_G: 82.7976 | Total_Iter: 294
[98/10001] End of Epoch | Avg_Loss_D: -166.9157 | Avg_Loss_G: 83.7153 | Total_Iter: 297
[99/10001] End of Epoch | Avg_Loss_D: -156.5933 | Avg_Loss_G: 83.5171 | Total_Iter: 300
[100/10001] End of Epoch | Avg_Loss_D: -170.0881 | Avg_Loss_G: 85.5607 | Total_Iter: 303
[101/10001] End of Epoch | Avg_Loss_D: -172.1791 | Avg_Loss_G: 86.5570 | Total_Iter: 306
[102/10001] End of Epoch | Avg_Loss_D: -173.3067 | Avg_Loss_G: 87.2747 | Total_Iter: 309
[103/10001] End of Epoch | Avg_Loss_D: -175.8365 | Avg_Loss_G: 88.4058 | Total_Iter: 312
[104/10001] End of Epoch | Avg_Loss_D: -165.8932 | Avg_Loss_G: 89.1382 | Total_Iter: 315
[105/10001] End of Epoch | Avg_Loss_D: -178.9276 | Avg_Loss_G: 90.2830 | Total_Iter: 318
[106/10001] End of Epoch | Avg_Loss_D: -180.8847 | Avg_Loss_G: 91.2022 | Total_Iter: 321
[107/10001] End of Epoch | Avg_Loss_D: -172.3210 | Avg_Loss_G: 91.2082 | Total_Iter: 324
[108/10001] End of Epoch | Avg_Loss_D: -183.8754 | Avg_Loss_G: 92.9202 | Total_Iter: 327
[109/10001] End of Epoch | Avg_Loss_D: -187.5605 | Avg_Loss_G: 93.7493 | Total_Iter: 330
[110/10001] End of Epoch | Avg_Loss_D: -187.3200 | Avg_Loss_G: 94.9169 | Total_Iter: 333
[111/10001] End of Epoch | Avg_Loss_D: -187.5491 | Avg_Loss_G: 95.4349 | Total_Iter: 336
[112/10001] End of Epoch | Avg_Loss_D: -190.6217 | Avg_Loss_G: 96.5865 | Total_Iter: 339
[113/10001] End of Epoch | Avg_Loss_D: -135.6460 | Avg_Loss_G: 96.9377 | Total_Iter: 342
[114/10001] End of Epoch | Avg_Loss_D: -177.6123 | Avg_Loss_G: 97.0644 | Total_Iter: 345
[115/10001] End of Epoch | Avg_Loss_D: -196.7788 | Avg_Loss_G: 99.0537 | Total_Iter: 348
[116/10001] End of Epoch | Avg_Loss_D: -198.0473 | Avg_Loss_G: 99.9986 | Total_Iter: 351
[117/10001] End of Epoch | Avg_Loss_D: -200.8632 | Avg_Loss_G: 101.1290 | Total_Iter: 354
[118/10001] End of Epoch | Avg_Loss_D: -201.7924 | Avg_Loss_G: 102.0008 | Total_Iter: 357
[119/10001] End of Epoch | Avg_Loss_D: -205.4938 | Avg_Loss_G: 103.0415 | Total_Iter: 360
[120/10001] End of Epoch | Avg_Loss_D: -206.8607 | Avg_Loss_G: 104.0108 | Total_Iter: 363
[121/10001] End of Epoch | Avg_Loss_D: -209.8919 | Avg_Loss_G: 105.0575 | Total_Iter: 366
